0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,6,1,0,1,0,0,1,6,1,0,0,6,0,2,7,100714900.1874114,0.0,57956558.42034293,0.00919238119794341,78452891.91196637,0.0,12586457.998778107,0.0,1253564187.9564567,0.4727655229036821,656500000.0,0.0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,5,2,3,1,4,3,0,0,5,6,4,6,0.0,0.0,170590329.1761617,0.0,88684700.28210911,0.010829427508690375,13147213.495058302,0.0005761576390775463,230381546.21180153,0.04003302386669637,710400000.0,0.0
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,6,0,4,0,1,1,0,0,1,0,0,0,1,3,5,119252509.8856793,0.0,113229202.46503067,0.01631555210328252,103875647.69483227,0.0707765321391582,0.0,0.0,538014227.3191824,0.17732776400767297,529200000.0,0.0
0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,3,0,6,0,3,0,0,0,7,0,0,3,6,0,0,4,138915721.44103634,0.0031823324644935894,47842699.56310011,0.0,34221561.73832255,0.0,22374727.640758883,0.0,1695746765.2237778,0.07960977828676985,438700000.0,55959.703443405095
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,1,2,1,2,2,1,0,0,198688322.85025924,0.05303887440822648,49421870.955477804,0.003093272928082483,43224599.14167526,0.0,22013110.966710176,0.0,2836308126.8894157,1.1350564976707185,317500000.0,0.0
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,4,0,3,0,7,4,6,1,7,1,7,4,5,185898279.5495107,0.035352956187945685,54068529.74053858,0.0027595133642200217,113065055.38858135,0.0,29339878.5720282,0.0,139497823.77407175,0.0,273100000.0,0.0
0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,3,0,0,2,1,0,0,3,1,6,1,1,6,0,4,1,193652020.432985,0.006364664928987179,44815600.77462368,0.0003676952479177364,82565692.51492499,0.0,26318922.396294314,0.0,1123937618.0495763,0.05142723922869719,438700000.0,36179.577988496334
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,2,4,0,0,0,0,7,0,1,1,1,2,3,106293784.88118687,0.0,53358573.6002109,0.0,119381038.99328461,0.07321326855081843,12857587.774250694,0.0,1744153502.1207368,0.6819412776768435,504600000.0,0.0
0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,7,6,7,1,0,0,3,0,0,0,0,1,1,3,6,250418129.4142797,0.0,57956558.42034293,0.00919238119794341,24198032.45136138,0.0,6320800.309666242,0.0,876409600.8833722,0.31630322275959116,779400000.0,0.0
0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,7,4,5,0,1,1,0,3,0,0,0,0,2,2,128674397.76670545,0.0,104651657.86617124,0.0,69987281.74303834,0.021278606193096655,0.0,0.0,883860314.2529811,0.3318339676872691,1259200000.0,0.0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,2,0,0,0,0,1,1,4,2,5,3,2,106351803.45458499,0.0,63024499.0568824,0.009629569129463623,249029367.88255897,0.19541132679149958,25020674.91684363,0.0,245403694.73138225,0.0579384938655344,461900000.0,0.0
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,9,3,2,0,0,1,0,6,0,2,2,0,3,1,220687505.4725324,0.02651943720411324,56124255.622818954,0.006273983442469011,65137417.37427285,0.01069296143037516,15173808.632728375,0.0,1329261331.7505019,0.5149116086827072,664100000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,0,0,1,7,0,0,6,2,5,4,1,149753131.9844057,0.008833518983832443,63087148.75104386,0.009684941333899258,98875640.01602447,0.03753888551454327,21556221.14781617,0.0,513640191.5701978,0.1719514164043778,0.0,0.0
0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,3,0,0,0,1,0,4,0,4,0,2,0,5,5,3,2,0.0,0.0,106567961.31340525,0.0007353904958354728,38360211.67731151,0.0012075049503424608,19170235.12681486,0.0,317121010.4070465,0.010734906508901609,1348200000.0,6888.229340820188
0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,9,6,3,1,0,0,3,0,0,0,0,1,0,3,0,237427471.17766637,0.0,57956558.42034293,0.00919238119794341,24198032.45136138,0.0,6320800.309666242,0.0,1427320562.9666994,0.5663161595422276,523300000.0,0.0
1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,4,0,1,3,1,3,0,3,0,0,0,0,0,0,3,3,76431543.68310125,0.0,110315175.15187499,0.001254441922848733,49519907.73009426,0.002675112366942511,3703556.5648963368,0.00011545297478055726,1214497993.3422825,0.05582330476076655,1020400000.0,45345.13638756745
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5,4,0,0,0,7,1,1,0,9,0,5,32694901.094161935,0.0,122529913.13437451,0.0,221886495.18481883,0.019336314548970668,12857587.774250694,0.0,133194266.48119193,0.0016007507324748715,425300000.0,4815.0019302341525
0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,3,0,0,0,5,0,0,3,0,2,0,0,6,1,0,2,0.0,0.0,59410102.93073928,0.0,48716867.66610375,0.0,16284965.681069318,0.00011519876530673269,933048416.4196675,0.04259116452727053,1033800000.0,28958.473883058065
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,3,3,3,0,4,1,5,3,5,214613734.86348128,0.061872393392058925,49517497.11075965,0.0031777909946194708,80565267.4198265,0.0,16925244.491970196,0.0,252610860.66252992,0.05574854003850578,633400000.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,3,3,2,3,6,2,7,6,9,5,0,68139002.95605196,0.0,165154438.35708916,0.0037997189199577303,115721409.76185751,0.00950482617436521,39615816.28463164,0.0,102741299.33204842,0.0,217800000.0,586.9128605904423
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,3,5,1,0,4,5,2,0,0.0,0.0,105144254.77076915,0.004289912223039771,82114518.66040653,0.0,16347288.792964684,0.0,628647082.2719228,0.03592171049339051,217800000.0,14923.385720195922
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,3,0,0,4,6,1,9,7,3,1,204244765.1573372,0.05303887440822648,136638608.13374585,0.0,211049828.04843026,0.15648989790847773,43274259.946559355,0.0,117628654.87407616,0.0,121200000.0,0.0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,1,3,0,0,3,3,6,0,0,0,0,7,5,115851949.22904456,0.0,67949853.56512356,0.009542131543159584,101926075.72228496,0.01097814804858824,5805358.084789859,0.0015480670396291415,567957220.4165149,0.18781301577841605,242400000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,2,3,1,0,1,0,0,0,0,5,2,1,143202859.64458665,0.008833518983832443,145927266.97236964,0.0031777909946194708,199709706.84831685,0.15442536357601014,0.0,0.0,277974047.39933854,0.07521782456065751,121200000.0,0.0
0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,3,1,0,0,2,0,0,3,1,2,1,7,2,3,3,4,32694901.094161935,0.0,62430922.756715536,0.0010925932333967242,72006834.11481157,0.0,30663030.56823361,0.0,331009888.6048932,0.011315335037278896,1469400000.0,7593.7770679597215
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,9,9,3,1,0,0,0,0,1,0,1,2,0,3,0,278066693.96281314,0.0,57956558.42034293,0.00919238119794341,44295299.53333987,0.020251832113802378,15757727.821116665,0.00048211373490724443,1427320562.9666994,0.5663161595422276,182600000.0,0.0
0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,3,2,0,0,0,0,4,0,0,2,7,7,3,42291505.65437629,0.0,62678246.21511839,0.009323537577399477,110141411.77990727,0.07102537819220563,7332080.219521779,0.0,160966478.7646194,0.005295429972068182,1003100000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3,0,0,3,4,3,0,3,6,6,0,5,214613734.86348128,0.061872393392058925,54541781.00236196,0.0031777909946194708,84016058.9050726,0.0,22374727.640758883,0.0,244963948.3345472,0.06793450553354499,633400000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,1,1,3,1,0,0,0,6,3,1,100714900.1874114,0.0,104026944.29065529,0.009717006715767662,111728943.75470267,0.03753888551454327,13707543.46408106,0.003698655417991514,290724287.0808814,0.07738595710990295,0.0,0.0
0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,0,0,0,5,0,0,3,0,2,0,1,5,1,0,2,0.0,0.0,59410102.93073928,0.0,48716867.66610375,0.0,21966355.552518576,0.00014037593047605448,2503163385.8172393,0.11985199759654747,791400000.0,79409.49637378124
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,3,1,0,5,0,6,0,1,72222705.9376919,0.0,158530355.9246006,0.05479759546383373,110872307.89577629,0.036220350281948546,11068771.68625446,0.0,483104790.28437173,0.1771991312982417,256100000.00000003,0.0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,2,4,4,0,5,0,1,4,6,7,0,47847947.961454235,0.0,167613097.97855717,0.0,59344433.82549998,0.0,25734091.05044807,0.0026162218725372267,262041164.06161517,0.07234253659340524,146000000.0,0.0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,3,2,0,1,3,0,3,4,0.0,0.0,58104952.49538465,0.009323537577399477,78081587.42151478,0.0,15063068.18035096,0.0,710956370.8605357,0.25608545498148916,490900000.0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6,6,2,8,2,3,0,0,3,0,0,2,0,1,197826216.38032818,0.008833518983832443,196230023.12663162,0.003061207546214079,24198032.45136138,0.0,8453407.696608048,0.0,2118201276.1634972,0.8538927801291603,61400000.0,0.0
0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,3,3,0,0,3,3,6,1,7,6,6,7,7,42291505.65437629,0.0,47842699.56310011,0.0,89374385.29717618,0.0,37537823.96587316,0.0,205810345.70256057,0.018591492092483862,777700000.0,0.0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,3,3,0,7,3,3,5,3,7,32694901.094161935,0.0,95348473.08351621,0.0032098563764878744,50962397.12067895,0.0,36785763.35688788,0.0,325566333.02946854,0.08368894336287787,339000000.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,5,3,1,0,0,0,0,2,0,2,1,0,4,6,182199085.14287966,0.02651943720411324,51287150.214122154,0.006040816545658228,22167818.198803753,0.0,14092235.304915495,0.0,1432925640.790628,0.5538884481415387,348200000.0,0.0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,5,0,0,2,7,2,5,66507014.9338145,0.0,66919744.401284,0.030602857416811374,52967973.44432734,0.0,7332080.219521779,0.0,128711732.55923322,0.0,454300000.0,0.0
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,10,3,1,0,0,3,7,1,0,0,1,0,4,5,232485894.11596954,0.02651943720411324,51485008.98084445,0.006215691718266318,90454561.25414468,0.0,6320800.309666242,0.0,634455963.4267923,0.22144267416323007,273100000.0,0.0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,9,4,1,3,7,0,0,1,0,1,6,7,3,2,228205940.66821784,0.0031823324644935894,171584544.95486164,0.0,116994645.84430192,0.009915345733234042,19337348.34775413,0.0,121184397.55969758,0.0,151900000.0,2631.020964358666
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,0,1,0,3,2,9,109260950.81447119,0.026500556951497327,59410102.93073928,0.0,138948290.35620347,0.08410661181920029,10347948.0446954,0.0010978806421081584,1020229096.8052682,0.3770431398248225,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,2,0,5,5,0,1,4,8,2,138915721.44103634,0.02651943720411324,106860238.4866137,0.0,96404577.55504501,0.037925522946095705,18545877.781152677,0.0,534571232.67808306,0.17046793725948045,0.0,0.0
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,3,0,3,2,3,0,3,5,0,0,2,2,7,0,0,89068254.21950817,0.0,100689015.26501697,0.00114505578517915,56050655.355505094,0.0,15173808.632728375,0.0,75908072.7775306,0.005014049411273567,800900000.0,536.8847975319574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4,1,0,5,3,1,0,0,5,0,0,1,128684288.65719418,0.008833518983832443,97105266.60422453,0.0,83982590.31387958,0.0,25104629.47087697,0.003836409678358556,2865794585.817775,1.1478393720080096,0.0,0.0
0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,3,0,6,0,3,0,0,2,3,7,0,1,5,7,3,4,60717312.84309486,0.0,47842699.56310011,0.0,88529778.62044042,0.0,22133037.71081548,0.00014876831886582857,175786954.87764812,0.0024221475416845812,702800000.0,1513.2433359174784
1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,7,4,3,7,2,2,32694901.094161935,0.0,66576608.973689556,0.030299581155048605,87827219.30011225,0.04967579036957655,38761038.9592929,0.0,116400603.98191449,0.0,916200000.0,0.0
0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,3,7,0,3,7,6,4,0,0.0,0.0,62529852.140076675,0.00919238119794341,74209515.05543905,0.010376087410138405,24227584.784522224,0.0,174126001.589819,0.040080112974689844,656500000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,1,3,1,3,7,6,10,9,2,1,193652020.432985,0.019093994786961537,131169151.30106771,0.0010301485973669056,74329095.23221701,0.0,61735345.74913617,0.0,126662916.24481738,0.0,121200000.0,665.5539707223601
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,3,0,2,0,5,7,2,4,6,1,1,0.0,0.0,100590085.88165581,0.0011135782541096938,65299520.53965768,0.003830149114757395,36656511.13181695,0.0,506309411.6163423,0.06329283167811896,279200000.0,6034.330573644784
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,1,1,0,7,4,5,32694901.094161935,0.0,146367491.76032254,0.06636423102926006,53401633.19836887,0.0,12857587.774250694,0.0,232943570.41926134,0.04027858499867175,217800000.0,0.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,5,0,1,0,0,1,6,0,6,76431543.68310125,0.0,53358573.6002109,0.0,52811167.63503672,0.0,22786775.04817094,0.00456012332236408,424948771.0816153,0.14468507318681048,302400000.0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,1,5,0,4,32694901.094161935,0.0,145641974.2518975,0.007883380727736575,228833854.6973977,0.07040558036613645,6320800.309666242,0.0,341583404.9242749,0.04036520300881116,205800000.0,6875.122691725919
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,0,6,0,4,2,5,2,6,0.0,0.0,197218797.93249547,0.003239002238589221,75103361.82915458,0.011336425941069178,25038682.591741685,0.001892508228531702,588030586.1556377,0.20007458264053352,84600000.0,0.0
1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,2,4,1,0,0,5,0,2,7,32694901.094161935,0.0,53358573.6002109,0.0,75239787.13836722,0.0,15434008.00173327,0.0012397359905485716,1271843767.3503664,0.48085908560199264,569600000.0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,0,2,3,1,0,0,0,7,0,6,76431543.68310125,0.0,53358573.6002109,0.0,115425809.5248434,0.03781561555687184,15317350.205902413,0.004078182959034451,312474286.5739669,0.09475083266940067,340700000.0,0.0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,3,0,0,3,3,6,0,5,5,0,3,7,109260950.81447119,0.026500556951497327,47842699.56310011,0.0,89374385.29717618,0.0,26222557.92914606,0.0005684747739791343,1141719208.9942193,0.42741376241369256,182600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,0,3,1,1,0,6,4,1,109260950.81447119,0.026500556951497327,165118158.66788948,0.01052270939579196,131496617.64894775,0.07477240712376004,12857587.774250694,0.0,277978157.45131296,0.06960690547266832,0.0,0.0
0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,3,0,1,2,0,2,0,0,1,0,0,0,1,0,6,78453877.84187987,0.0,101852998.98413506,0.006215691718266318,116389453.86925413,0.08169636869077763,0.0,0.0,760253097.1345093,0.2775146417601526,1003100000.0,0.0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,6,2,5,0,2,3,7,3,1,161937342.83897626,0.04418647517177813,62063179.4245756,0.008779917939293464,96197621.79801805,0.0,16373078.863592021,0.0,117628654.87407616,0.0,438700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,7,0,0,3,3,2,0,1,0,4,4,6,88429031.37443781,0.0,73315450.27094865,0.0,90866046.51489477,0.011336425941069178,17692272.496926486,0.0031530346672677865,650202225.1765025,0.2238141761804329,0.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,1,1,4,5,5,3,1,234595225.79382443,0.07955831161233973,42818415.6714978,0.0,75795704.53955784,0.0,29440944.05553699,0.0,504619002.6985833,0.1696259291392944,92100000.0,0.0
0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,7,0,0,6,0,0,3,0,2,0,1,5,1,0,5,68139002.95605196,0.0,66045103.44010488,0.0,48716867.66610375,0.0,22133037.71081548,0.0012397359905485716,1272074018.7506075,0.4910295631802498,400400000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,3,2,0,2,0,1,2,0,3,1,128684288.65719418,0.008833518983832443,152153085.30369735,0.04744975754289419,45876507.22344398,0.0,13903423.98391871,0.0,1941584802.6187444,0.774795109547487,0.0,0.0
1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,4,0,1,2,1,1,0,0,1,2,1,4,0.0,0.0,97105266.60422453,0.0,78641193.34672858,0.003818741650028873,21959929.764633015,0.001516750283292893,1504131905.5919585,0.2117349746421976,486700000.0,21902.95300106143
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,0,0,0,0,3,1,2,0,0,0,7,5,238050754.09079814,0.0,146367491.76032254,0.06636423102926006,139209152.25074944,0.07860782907157324,7332080.219521779,0.0,1116381235.279697,0.4159316765851108,0.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,6,0,2,214613734.86348128,0.061872393392058925,99768251.4590458,0.0028615238815747376,277938023.2712344,0.23622533346134833,6320800.309666242,0.0,233833286.63166147,0.06793450553354499,121200000.0,0.0
0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,1,4,0,6,3,7,4,5,32694901.094161935,0.0,129717528.88669538,0.024117221757300085,76851682.0937924,0.0,22928006.72310114,0.0,169582733.05138254,0.012966097832329552,641400000.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,1,0,1,1,0,5,7,3,1,102192937.55533153,0.0,106365840.34962866,0.03166432433298109,157430800.08941832,0.10030562063670403,17767801.395336673,0.0,218755419.76955035,0.0438605190364809,217800000.0,0.0
